ID,MUNICIPIO,AREA_HA,LONG,LAT
0,Araporã,11306.18,-49.190087,-18.441909
1,Araxá,2146.31,-46.94001,-19.59133
2,Campina Verde,9766.95,-49.481169,-19.535456
3,Campo Florido,39783.05,-48.573003,-19.765445
4,Canápolis,16482.24,-49.204054,-18.721664
5,Capinópolis,6806.6,-49.574482,-18.682294
6,Carneirinho,16198.85,-50.691427,-19.697326
7,Centralina,3451.57,-49.196283,-18.585386
8,Comendador Gomes,8892.93,-49.08143,-19.700215
9,Conceição Das Alagoas,53784.57,-48.381874,-19.923114
10,Conquista,19170.93,-44.60006,-19.716212
11,Delta,3856.87,-47.772971,-19.977473
12,Fronteira,1521.48,-49.204282,-20.288301
13,Frutal,73903.37,-48.939154,-20.025898
14,Gurinhatã,9725.45,-49.786273,-19.213748
15,Indianópolis,1331.17,-47.917992,-19.042495
16,Ipiaçu,4457.12,-49.945773,-18.69488
17,Iraí De Minas,918.73,-47.462991,-18.981858
18,Itapagipe,22953.6,-49.369821,-19.903296
19,Ituiutaba,26717.64,-49.462235,-18.973068
20,Iturama,37403.56,-50.201974,-19.731948
21,Limeira Do Oeste,29471.93,-50.57529,-19.547777
22,Monte Alegre De Minas,7262.07,-48.877117,-18.869167
23,Nova Ponte,7270.53,-47.670571,-19.168892
24,Patos De Minas,326.89,-46.515916,-18.592571
25,Pedrinópolis,865.74,-47.460617,-19.22772
26,Perdizes,17843.01,-47.292008,-19.338658
27,Pirajuba,14852.1,-48.696638,-19.908505
28,Planura,10741.77,-48.699919,-20.138663
29,Prata,14815.54,-48.923846,-19.308211
30,Sacramento,14728.99,-47.436555,-19.863576
31,Santa Juliana,11600.1,-47.527144,-19.311299
32,Santa Vitória,29849.57,-50.123465,-18.843948
33,São Francisco De Sales,17344.18,-49.765566,-19.865114
34,Tupaciguara,10732.36,-48.693736,-18.599353
35,Uberaba,100563.63,-47.983625,-19.713535
36,Uberlândia,16214.15,-48.27795,-18.918999
37,União De Minas,13021.12,-50.330803,-19.529737
38,Veríssimo,21620.99,-48.303711,-19.669358
39,Água Comprida,18952.33,-48.108077,-20.059312
